new_ID,EWRB_ID,data_year,Postal_Code,Table Names,City,PrimaryPropertyType,PropertyType_selected,LargestPropertyType,Weather-normalized Site Electricity Intensity (GJ/m2),Weather-normalized Site Electricity Intensity (kWh/ft2),Weather-normalized Site Natural Gas Intensity (GJ/m2),Weather-normalized Site Natural Gas Intensity (m3/m2),Weather-normalized Site Natural Gas Intensity (m3/ft2),All Water Use Intensity (m3/m2),All Water Use Intensity (m3/ft2),Indoor Water Use Intensity (m3/m2),Indoor Water Use Intensity (m3/ft2),Site Energy Use Intensity (GJ/m2),Site Energy Use Intensity (ekWh/ft2),Source Energy Use Intensity (GJ/m2),Source Energy Use Intensity (ekWh/ft2),Weather-normalized Site Energy Use Intensity (GJ/m2),Weather-normalized Site Energy Use Intensity (ekWh/ft2),Weather-normalized Source Energy Use Intensity (GJ/m2),Weather-normalized Source Energy Use Intensity (ekWh/ft2),GHG Emissions Intensity (kgCO2e/m2),GHG Emissions Intensity (kgCO2e/ft2),Energy_Star_Score,Data_Quality_Check,Data_Quality_Date,Third_Party_Cert,ENERGY STAR Certification - Year(s) Certified
103945_2018,103945,2018,M1H,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Other,Other,Other,0.155776608,4.02,0.454154688,12.175728901,1.127465127,0,0,,,1.02882312,26.55,1.544590944,39.86,1.0323106559999999,26.640000000000001,1.546915968,39.920000000000002,30.1392,2.8,,Yes,2018-06-27,Not Available,Not Available
107374_2018,107374,2018,M3C,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.179414352,4.63,0.794770704,21.307525576,1.973063973,0.971796405,0.090315651,,,1.37176416,35.4,1.9762704,51,1.3698266400000001,35.350000000000001,1.9658077919999997,50.729999999999997,44.1324,4.1,40,Yes,2019-02-15,Not Available,Not Available
121966_2018,121966,2018,K1A,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Ottawa,Office,Office,Office,0.26931528,6.95,0.227077344,6.087864450,0.563732564,0.386681253,0.035936919,0.39,0.04,1.176462144,30.36,2.061133776,53.19,1.169874576,30.190000000000001,2.0545462080000001,53.020000000000003,22.6044,2.1,,Yes,2019-04-29,Not Available,Not Available
103073_2018,103073,2018,L1R,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Whitby,Strip Mall,Strip Mall,Strip Mall,0.427029408,11.02,1.021848048,27.395390027,2.536796537,0.965684478,0.089747628,0.97,0.09,2.586976704,66.76,4.003303824,103.31,2.4746005439999998,63.859999999999999,3.8831775839999993,100.20999999999999,72.1188,6.7,,Yes,2019-05-01,Not Available,Not Available
103668_2018,103668,2018,M1L,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Strip Mall,Strip Mall,Strip Mall,0.219327264,5.66,0.340616016,9.131796676,0.845598846,0.783141590,0.072782676,0.78,0.07,1.077648624,27.81,1.810418688,46.72,1.0640859839999999,27.460000000000001,1.7863934399999999,46.100000000000001,23.6808,2.2,,Yes,2019-05-01,Not Available,Not Available
104411_2018,104411,2018,M1B,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Strip Mall,Strip Mall,Strip Mall,0.19762704,5.1,0.681232032,18.263593351,1.691197691,0.095346062,0.008861158,0.1,0.01,1.322938656,34.14,1.981695456,51.14,1.3229386559999998,34.140000000000001,1.977432912,51.030000000000001,39.8268,3.7,,Yes,2019-05-01,Not Available,Not Available
106288_2018,106288,2018,M4G,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Strip Mall,Strip Mall,Strip Mall,0.281715408,7.27,0.681232032,18.263593351,1.691197691,0.557000288,0.051765826,0.56,0.05,1.62170424,41.85,2.567989008,66.27,1.591091424,41.060000000000002,2.521101024,65.060000000000002,43.056,4,,Yes,2019-05-01,Not Available,Not Available
106654_2018,106654,2018,M9N,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Strip Mall,Strip Mall,Strip Mall,0.152289072,3.93,0.56769336,15.219661126,1.409331409,0.589597232,0.054795282,0.59,0.05,1.02882312,26.55,1.53451584,39.6,1.0323106559999999,26.640000000000001,1.5376158719999999,39.68,31.2156,2.9,,Yes,2019-05-01,Not Available,Not Available
108109_2018,108109,2018,M9C,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Strip Mall,Strip Mall,Strip Mall,0.20537712,5.3,0.340616016,9.131796676,0.845598846,0.454319913,0.042223040,0.45,0.04,1.082298672,27.93,1.782905904,46.01,1.0605984479999999,27.370000000000001,1.736405424,44.810000000000002,25.8336,2.4,,Yes,2019-05-01,Not Available,Not Available
113822_2018,113822,2018,N1H,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Guelph,Strip Mall,Strip Mall,Strip Mall,0.206539632,5.33,0.454154688,12.175728901,1.127465127,0.453097527,0.042109436,0.45,0.04,1.135774224,29.31,1.820493792,46.98,1.150499376,29.690000000000001,1.831731408,47.270000000000003,29.0628,2.7,,Yes,2019-05-01,Not Available,Not Available
117024_2018,117024,2018,N1R,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Cambridge,Strip Mall,Strip Mall,Strip Mall,0.19762704,5.1,0.454154688,12.175728901,1.127465127,0.941644232,0.087513404,0.94,0.09,1.181112192,30.48,1.848781584,47.71,1.1574744479999999,29.870000000000001,1.8092561759999997,46.689999999999998,32.292,3,,Yes,2019-05-01,Not Available,Not Available
